h_ratio,theta,model,z_order,r,omega,amplitude
0.000000,-1.0000,parametric,3,61.92384808,0.66525414,8.04462932
0.000000,-1.0000,parametric,3,62.12424888,0.66600868,8.06525786
0.000000,-1.0000,parametric,3,62.32464968,0.66676564,8.08583385
0.000000,-1.0000,parametric,3,62.52505047,0.66752505,8.10635712
0.000000,-1.0000,parametric,3,62.72545127,0.66828690,8.12682752
0.000000,-1.0000,parametric,3,62.92585207,0.66905118,8.14724487
0.000000,-1.0000,parametric,3,63.12625287,0.66981790,8.16760899
0.000000,-1.0000,parametric,3,63.32665367,0.67058706,8.18791972
0.000000,-1.0000,parametric,3,63.52705447,0.67135866,8.20817689
0.000000,-1.0000,parametric,3,63.72745527,0.67213269,8.22838033
0.000000,-1.0000,parametric,3,63.92785607,0.67290917,8.24852986
0.000000,-1.0000,parametric,3,64.12825687,0.67368808,8.26862531
0.000000,-1.0000,parametric,3,64.32865767,0.67446942,8.28866653
0.000000,-1.0000,parametric,3,64.52905847,0.67525321,8.30865333
0.000000,-1.0000,parametric,3,64.72945927,0.67603944,8.32858554
0.000000,-1.0000,parametric,3,64.92986007,0.67682810,8.34846300
0.000000,-1.0000,parametric,3,65.13026087,0.67761920,8.36828553
0.000000,-1.0000,parametric,3,65.33066167,0.67841274,8.38805296
0.000000,-1.0000,parametric,3,65.53106247,0.67920871,8.40776513
0.000000,-1.0000,parametric,3,65.73146327,0.68000713,8.42742186
0.000000,-1.0000,parametric,3,65.93186407,0.68080798,8.44702298
0.000000,-1.0000,parametric,3,66.13226487,0.68161127,8.46656833
0.000000,-1.0000,parametric,3,66.33266567,0.68241699,8.48605772
0.000000,-1.0000,parametric,3,66.53306647,0.68322516,8.50549100
0.000000,-1.0000,parametric,3,66.73346727,0.68403576,8.52486799
0.000000,-1.0000,parametric,3,66.93386807,0.68484881,8.54418852
0.000000,-1.0000,parametric,3,67.13426887,0.68566428,8.56345242
0.000000,-1.0000,parametric,3,67.33466967,0.68648220,8.58265952
0.000000,-1.0000,parametric,3,67.53507046,0.68730256,8.60180964
0.000000,-1.0000,parametric,3,67.73547126,0.68812535,8.62090263
0.000000,-1.0000,parametric,3,67.93587206,0.68895058,8.63993830
0.000000,-1.0000,parametric,3,68.13627286,0.68977825,8.65891650
0.000000,-1.0000,parametric,3,68.33667366,0.69060836,8.67783704
0.000000,-1.0000,parametric,3,68.53707446,0.69144090,8.69669976
0.000000,-1.0000,parametric,3,68.73747526,0.69227588,8.71550448
0.000000,-1.0000,parametric,3,68.93787606,0.69311330,8.73425104
0.000000,-1.0000,parametric,3,69.13827686,0.69395316,8.75293927
0.000000,-1.0000,parametric,3,69.33867766,0.69479546,8.77156899
0.000000,-1.0000,parametric,3,69.53907846,0.69564019,8.79014004
0.000000,-1.0000,parametric,3,69.73947926,0.69648736,8.80865225
0.000000,-1.0000,parametric,3,69.93988006,0.69733697,8.82710543
0.000000,-1.0000,parametric,3,70.14028086,0.69818902,8.84549944
0.000000,-1.0000,parametric,3,70.34068166,0.69904351,8.86383408
0.000000,-1.0000,parametric,3,70.54108246,0.69990043,8.88210920
0.000000,-1.0000,parametric,3,70.74148326,0.70075979,8.90032462
0.000000,-1.0000,parametric,3,70.94188406,0.70162159,8.91848018
0.000000,-1.0000,parametric,3,71.14228486,0.70248583,8.93657569
0.000000,-1.0000,parametric,3,71.34268566,0.70335250,8.95461100
0.000000,-1.0000,parametric,3,71.54308646,0.70422162,8.97258593
0.000000,-1.0000,parametric,3,71.74348726,0.70509317,8.99050032
0.000000,-1.0000,parametric,3,71.94388806,0.70596716,9.00835398
0.000000,-1.0000,parametric,3,72.14428886,0.70684358,9.02614675
0.000000,-1.0000,parametric,3,72.34468966,0.70772245,9.04387846
0.000000,-1.0000,parametric,3,72.54509045,0.70860375,9.06154894
0.000000,-1.0000,parametric,3,72.74549125,0.70948749,9.07915802
0.000000,-1.0000,parametric,3,72.94589205,0.71037367,9.09670553
0.000000,-1.0000,parametric,3,73.14629285,0.71126229,9.11419130
0.000000,-1.0000,parametric,3,73.34669365,0.71215334,9.13161515
0.000000,-1.0000,parametric,3,73.54709445,0.71304683,9.14897693
0.000000,-1.0000,parametric,3,73.74749525,0.71394276,9.16627645
0.000000,-1.0000,parametric,3,73.94789605,0.71484113,9.18351354
0.000000,-1.0000,parametric,3,74.14829685,0.71574194,9.20068804
0.000000,-1.0000,parametric,3,74.34869765,0.71664518,9.21779978
0.000000,-1.0000,parametric,3,74.54909845,0.71755086,9.23484859
0.000000,-1.0000,parametric,3,74.74949925,0.71845898,9.25183429
0.000000,-1.0000,parametric,3,74.94990005,0.71936954,9.26875671
0.000000,-1.0000,parametric,3,75.15030085,0.72028254,9.28561569
0.000000,-1.0000,parametric,3,75.35070165,0.72119797,9.30241105
0.000000,-1.0000,parametric,3,75.55110245,0.72211584,9.31914263
0.000000,-1.0000,parametric,3,75.75150325,0.72303615,9.33581025
0.000000,-1.0000,parametric,3,75.95190405,0.72395890,9.35241374
0.000000,-1.0000,parametric,3,76.15230485,0.72488408,9.36895293
0.000000,-1.0000,parametric,3,76.35270565,0.72581170,9.38542766
0.000000,-1.0000,parametric,3,76.55310645,0.72674176,9.40183775
0.000000,-1.0000,parametric,3,76.75350725,0.72767426,9.41818302
0.000000,-1.0000,parametric,3,76.95390805,0.72860920,9.43446332
0.000000,-1.0000,parametric,3,77.15430885,0.72954657,9.45067847
0.000000,-1.0000,parametric,3,77.35470965,0.73048639,9.46682830
0.000000,-1.0000,parametric,3,77.55511044,0.73142864,9.48291264
0.000000,-1.0000,parametric,3,77.75551124,0.73237332,9.49893132
0.000000,-1.0000,parametric,3,77.95591204,0.73332045,9.51488417
0.000000,-1.0000,parametric,3,78.15631284,0.73427002,9.53077102
0.000000,-1.0000,parametric,3,78.35671364,0.73522202,9.54659169
0.000000,-1.0000,parametric,3,78.55711444,0.73617646,9.56234602
0.000000,-1.0000,parametric,3,78.75751524,0.73713333,9.57803384
0.000000,-1.0000,parametric,3,78.95791604,0.73809265,9.59365498
0.000000,-1.0000,parametric,3,79.15831684,0.73905440,9.60920926
0.000000,-1.0000,parametric,3,79.35871764,0.74001860,9.62469652
0.000000,-1.0000,parametric,3,79.55911844,0.74098522,9.64011658
0.000000,-1.0000,parametric,3,79.75951924,0.74195429,9.65546928
0.000000,-1.0000,parametric,3,79.95992004,0.74292580,9.67075445
0.000000,-1.0000,parametric,3,80.16032084,0.74389974,9.68597191
0.000000,-1.0000,parametric,3,80.36072164,0.74487612,9.70112149
0.000000,-1.0000,parametric,3,80.56112244,0.74585494,9.71620303
0.000000,-1.0000,parametric,3,80.76152324,0.74683620,9.73121635
0.000000,-1.0000,parametric,3,80.96192404,0.74781989,9.74616128
0.000000,-1.0000,parametric,3,81.16232484,0.74880602,9.76103766
0.000000,-1.0000,parametric,3,81.36272564,0.74979459,9.77584531
0.000000,-1.0000,parametric,3,81.56312644,0.75078560,9.79058406
0.000000,-1.0000,parametric,3,81.76352724,0.75177905,9.80525374
0.000000,-1.0000,parametric,3,81.96392804,0.75277493,9.81985418
0.000000,-1.0000,parametric,3,82.16432884,0.75377325,9.83438521
0.000000,-1.0000,parametric,3,82.36472964,0.75477401,9.84884667
0.000000,-1.0000,parametric,3,82.56513043,0.75577721,9.86323837
0.000000,-1.0000,parametric,3,82.76553123,0.75678285,9.87756015
0.000000,-1.0000,parametric,3,82.96593203,0.75779092,9.89181184
0.000000,-1.0000,parametric,3,83.16633283,0.75880143,9.90599327
0.000000,-1.0000,parametric,3,83.36673363,0.75981438,9.92010427
0.000000,-1.0000,parametric,3,83.56713443,0.76082977,9.93414467
0.000000,-1.0000,parametric,3,83.76753523,0.76184760,9.94811429
0.000000,-1.0000,parametric,3,83.96793603,0.76286786,9.96201297
0.000000,-1.0000,parametric,3,84.16833683,0.76389056,9.97584054
0.000000,-1.0000,parametric,3,84.36873763,0.76491570,9.98959682
0.000000,-1.0000,parametric,3,84.56913843,0.76594328,10.00328165
0.000000,-1.0000,parametric,3,84.76953923,0.76697329,10.01689486
0.000000,-1.0000,parametric,3,84.96994003,0.76800574,10.03043627
0.000000,-1.0000,parametric,3,85.17034083,0.76904063,10.04390571
0.000000,-1.0000,parametric,3,85.37074163,0.77007796,10.05730302
0.000000,-1.0000,parametric,3,85.57114243,0.77111773,10.07062803
0.000000,-1.0000,parametric,3,85.77154323,0.77215993,10.08388055
0.000000,-1.0000,parametric,3,85.97194403,0.77320458,10.09706043
0.000000,-1.0000,parametric,3,86.17234483,0.77425166,10.11016750
0.000000,-1.0000,parametric,3,86.37274563,0.77530117,10.12320157
0.000000,-1.0000,parametric,3,86.57314643,0.77635313,10.13616249
0.000000,-1.0000,parametric,3,86.77354723,0.77740752,10.14905008
0.000000,-1.0000,parametric,3,86.97394803,0.77846436,10.16186417
0.000000,-1.0000,parametric,3,87.17434883,0.77952363,10.17460459
0.000000,-1.0000,parametric,3,87.37474963,0.78058533,10.18727117
0.000000,-1.0000,parametric,3,87.57515042,0.78164948,10.19986374
0.000000,-1.0000,parametric,3,87.77555122,0.78271606,10.21238213
0.000000,-1.0000,parametric,3,87.97595202,0.78378508,10.22482617
0.000000,-1.0000,parametric,3,88.17635282,0.78485654,10.23719569
0.000000,-1.0000,parametric,3,88.37675362,0.78593044,10.24949052
0.000000,-1.0000,parametric,3,88.57715442,0.78700678,10.26171048
0.000000,-1.0000,parametric,3,88.77755522,0.78808555,10.27385541
0.000000,-1.0000,parametric,3,88.97795602,0.78916676,10.28592514
0.000000,-1.0000,parametric,3,89.17835682,0.79025041,10.29791950
0.000000,-1.0000,parametric,3,89.37875762,0.79133649,10.30983832
0.000000,-1.0000,parametric,3,89.57915842,0.79242502,10.32168142
0.000000,-1.0000,parametric,3,89.77955922,0.79351598,10.33344863
0.000000,-1.0000,parametric,3,89.97996002,0.79460938,10.34513979
0.000000,-1.0000,parametric,3,90.18036082,0.79570522,10.35675473
0.000000,-1.0000,parametric,3,90.38076162,0.79680350,10.36829327
0.000000,-1.0000,parametric,3,90.58116242,0.79790421,10.37975524
0.000000,-1.0000,parametric,3,90.78156322,0.79900736,10.39114048
0.000000,-1.0000,parametric,3,90.98196402,0.80011295,10.40244881
0.000000,-1.0000,parametric,3,91.18236482,0.80122098,10.41368007
0.000000,-1.0000,parametric,3,91.38276562,0.80233145,10.42483407
0.000000,-1.0000,parametric,3,91.58316642,0.80344435,10.43591066
0.000000,-1.0000,parametric,3,91.78356722,0.80455969,10.44690966
0.000000,-1.0000,parametric,3,91.98396802,0.80567747,10.45783090
0.000000,-1.0000,parametric,3,92.18436882,0.80679769,10.46867422
0.000000,-1.0000,parametric,3,92.38476962,0.80792034,10.47943943
0.000000,-1.0000,parametric,3,92.58517041,0.80904544,10.49012638
0.000000,-1.0000,parametric,3,92.78557121,0.81017297,10.50073488
0.000000,-1.0000,parametric,3,92.98597201,0.81130294,10.51126477
0.000000,-1.0000,parametric,3,93.18637281,0.81243534,10.52171589
0.000000,-1.0000,parametric,3,93.38677361,0.81357019,10.53208805
0.000000,-1.0000,parametric,3,93.58717441,0.81470747,10.54238109
0.000000,-1.0000,parametric,3,93.78757521,0.81584719,10.55259483
0.000000,-1.0000,parametric,3,93.98797601,0.81698935,10.56272912
0.000000,-1.0000,parametric,3,94.18837681,0.81813395,10.57278377
