theta1,theta2,w_mid,omega0_exact,omega0_param,rel_err
0.165758,0.181818,0.181771,0.40431692,0.39543169,2.197588e-02
0.169970,0.181818,0.181771,0.40141718,0.39223332,2.287859e-02
0.174182,0.181818,0.181771,0.39854851,0.38907055,2.378120e-02
0.178394,0.181818,0.181771,0.39571047,0.38594357,2.468194e-02
0.182606,0.181818,0.181771,0.39290262,0.38285256,2.557901e-02
0.186818,0.181818,0.181771,0.39012454,0.37979773,2.647056e-02
0.191030,0.181818,0.181771,0.38737580,0.37677928,2.735463e-02
0.195242,0.181818,0.181771,0.38465601,0.37379745,2.822926e-02
0.199455,0.181818,0.181771,0.38196473,0.37085247,2.909237e-02
0.203667,0.181818,0.181771,0.37930160,0.36794460,2.994188e-02
0.207879,0.181818,0.181771,0.37666620,0.36507409,3.077556e-02
0.212091,0.181818,0.181771,0.37405817,0.36224122,3.159121e-02
