theta1,theta2,model,amplitude,shift
-0.100000,0.000000,param,0.3665597351,0.0002291270
-0.100000,0.000000,param,0.4072885811,0.0002828354
-0.100000,0.000000,param,0.4480174270,0.0003421807
-0.100000,0.000000,param,0.4887462730,0.0004071581
-0.100000,0.000000,param,0.5294751189,0.0004777621
-0.100000,0.000000,param,0.5702039648,0.0005539869
-0.100000,0.000000,param,0.6109328108,0.0006358260
-0.100000,0.000000,param,0.6516616567,0.0007232728
-0.100000,0.000000,param,0.6923905026,0.0008163200
-0.100000,0.000000,param,0.7331193486,0.0009149598
-0.100000,0.000000,param,0.7738481945,0.0010191842
-0.100000,0.000000,param,0.8145770405,0.0011289845
-0.100000,0.000000,param,0.8553058864,0.0012443516
-0.100000,0.000000,param,0.8960347323,0.0013652761
-0.100000,0.000000,param,0.9367635783,0.0014917481
-0.100000,0.000000,param,0.9774924242,0.0016237571
-0.100000,0.000000,param,1.0182212702,0.0017612923
-0.100000,0.000000,param,1.0589501161,0.0019043426
-0.100000,0.000000,param,1.0996789620,0.0020528963
-0.100000,0.000000,param,1.1404078080,0.0022069412
-0.100000,0.000000,param,1.1811366539,0.0023664649
-0.100000,0.000000,param,1.2218654999,0.0025314545
-0.100000,0.000000,param,1.2625943458,0.0027018965
-0.100000,0.000000,param,1.3033231917,0.0028777773
-0.100000,0.000000,param,1.3440520377,0.0030590827
-0.100000,0.000000,param,1.3847808836,0.0032457981
-0.100000,0.000000,param,1.4255097296,0.0034379086
-0.100000,0.000000,param,1.4662385755,0.0036353989
-0.100000,0.000000,param,1.5069674214,0.0038382531
-0.100000,0.000000,param,1.5476962674,0.0040464553
-0.100000,0.000000,param,1.5884251133,0.0042599888
-0.100000,0.000000,param,1.6291539593,0.0044788368
-0.100000,0.000000,param,1.6698828052,0.0047029820
-0.100000,0.000000,param,1.7106116511,0.0049324068
-0.100000,0.000000,param,1.7513404971,0.0051670932
-0.100000,0.000000,param,1.7920693430,0.0054070229
-0.100000,0.000000,param,1.8327981890,0.0056521771
-0.100000,0.000000,param,1.8735270349,0.0059025367
-0.100000,0.000000,param,1.9142558808,0.0061580825
-0.100000,0.000000,param,1.9549847268,0.0064187945
-0.100000,0.000000,param,1.9957135727,0.0066846526
-0.100000,0.000000,param,2.0364424186,0.0069556365
-0.100000,0.000000,param,2.0771712646,0.0072317254
-0.100000,0.000000,param,2.1179001105,0.0075128981
-0.100000,0.000000,param,2.1586289565,0.0077991331
-0.100000,0.000000,param,2.1993578024,0.0080904088
-0.100000,0.000000,param,2.2400866483,0.0083867030
-0.100000,0.000000,param,2.2808154943,0.0086879933
-0.100000,0.000000,param,2.3215443402,0.0089942570
-0.100000,0.000000,param,2.3622731862,0.0093054710
-0.100000,0.000000,param,2.4030020321,0.0096216120
-0.100000,0.000000,param,2.4437308780,0.0099426563
-0.100000,0.000000,param,2.4844597240,0.0102685799
-0.100000,0.000000,param,2.5251885699,0.0105993585
-0.100000,0.000000,param,2.5659174159,0.0109349676
-0.100000,0.000000,param,2.6066462618,0.0112753823
-0.100000,0.000000,param,2.6473751077,0.0116205772
-0.100000,0.000000,param,2.6881039537,0.0119705271
-0.100000,0.000000,param,2.7288327996,0.0123252059
-0.100000,0.000000,param,2.7695616456,0.0126845877
-0.100000,0.000000,param,2.8102904915,0.0130486460
-0.100000,0.000000,param,2.8510193374,0.0134173542
-0.100000,0.000000,param,2.8917481834,0.0137906851
-0.100000,0.000000,param,2.9324770293,0.0141686114
-0.100000,0.000000,param,2.9732058753,0.0145511056
-0.100000,0.000000,param,3.0139347212,0.0149381397
-0.100000,0.000000,param,3.0546635671,0.0153296854
-0.100000,0.000000,param,3.0953924131,0.0157257141
-0.100000,0.000000,param,3.1361212590,0.0161261970
-0.100000,0.000000,param,3.1768501050,0.0165311048
-0.100000,0.000000,param,3.2175789509,0.0169404080
-0.100000,0.000000,param,3.2583077968,0.0173540767
-0.100000,0.000000,param,3.2990366428,0.0177720807
-0.100000,0.000000,param,3.3397654887,0.0181943894
-0.100000,0.000000,param,3.3804943346,0.0186209720
