order,eta,Re,rho,omega,T,avg_TKE,max_abs_lift
3.0000000000e+00,-2.6354732217e-04,4.9671845940e+01,7.3584919537e-01,1.6913008867e+01,3.7150014860e-01,1.5488067830e-03,4.3660865168e-03
3.0000000000e+00,-2.7124784657e-04,4.9690852660e+01,7.4584919241e-01,1.6914511250e+01,3.7146715110e-01,1.5849115044e-03,4.4201586722e-03
3.0000000000e+00,-2.7905062448e-04,4.9710126600e+01,7.5584918937e-01,1.6916033824e+01,3.7143371620e-01,1.6212005772e-03,4.4742295135e-03
3.0000000000e+00,-2.8695558910e-04,4.9729668210e+01,7.6584918624e-01,1.6917576586e+01,3.7139984410e-01,1.6576649101e-03,4.5282989691e-03
3.0000000000e+00,-2.9496267284e-04,4.9749477940e+01,7.7584918304e-01,1.6919139531e+01,3.7136553520e-01,1.6942954971e-03,4.5823669666e-03
3.0000000000e+00,-3.0307180731e-04,4.9769556230e+01,7.8584917975e-01,1.6920722657e+01,3.7133078970e-01,1.7310834257e-03,4.6364334332e-03
3.0000000000e+00,-3.1128292329e-04,4.9789903550e+01,7.9584917638e-01,1.6922325959e+01,3.7129560810e-01,1.7680198853e-03,4.6904982952e-03
3.0000000000e+00,-3.1959595074e-04,4.9810520370e+01,8.0584917292e-01,1.6923949434e+01,3.7125999060e-01,1.8050961758e-03,4.7445614786e-03
3.0000000000e+00,-3.2801081886e-04,4.9831407150e+01,8.1584916938e-01,1.6925593079e+01,3.7122393750e-01,1.8423037161e-03,4.7986229086e-03
3.0000000000e+00,-3.3652745601e-04,4.9852564380e+01,8.2584916576e-01,1.6927256889e+01,3.7118744920e-01,1.8796340524e-03,4.8526825098e-03
3.0000000000e+00,-3.4514578976e-04,4.9873992540e+01,8.3584916204e-01,1.6928940860e+01,3.7115052610e-01,1.9170788674e-03,4.9067402061e-03
3.0000000000e+00,-3.5386574691e-04,4.9895692130e+01,8.4584915824e-01,1.6930644989e+01,3.7111316850e-01,1.9546299890e-03,4.9607959209e-03
3.0000000000e+00,-3.6268725343e-04,4.9917663650e+01,8.5584915435e-01,1.6932369273e+01,3.7107537680e-01,1.9922793995e-03,5.0148495768e-03
3.0000000000e+00,-3.7161023454e-04,4.9939907600e+01,8.6584915037e-01,1.6934113706e+01,3.7103715120e-01,2.0300192442e-03,5.0689010958e-03
3.0000000000e+00,-3.8063461463e-04,4.9962424500e+01,8.7584914630e-01,1.6935878286e+01,3.7099849210e-01,2.0678418413e-03,5.1229503993e-03
3.0000000000e+00,-3.8976031735e-04,4.9985214880e+01,8.8584914213e-01,1.6937663007e+01,3.7095940000e-01,2.1057396906e-03,5.1769974080e-03
3.0000000000e+00,-3.9898726555e-04,5.0008279240e+01,8.9584913788e-01,1.6939467867e+01,3.7091987520e-01,2.1437054834e-03,5.2310420418e-03
3.0000000000e+00,-4.0831538130e-04,5.0031618140e+01,9.0584913353e-01,1.6941292861e+01,3.7087991800e-01,2.1817321117e-03,5.2850842201e-03
3.0000000000e+00,-4.1774458591e-04,5.0055232120e+01,9.1584912908e-01,1.6943137984e+01,3.7083952880e-01,2.2198126781e-03,5.3391238616e-03
