exp_1,exp_2,exp_3,L_re,L_im
3,1,3,-380.9071707978951,242.0140265077482
3,0,4,-2088.294296803572,5834.4378469856965
2,5,0,1.6424876822142973e-8,4.7949046842699106e-8
2,4,1,-9.298252857661707e-5,-3.9553395158042795e-5
2,3,2,-22.673716210619062,-45.1470996680229
2,2,3,66148.63907806983,-2.5972310077404238e-12
2,1,4,-3.6621325116190594e6,1.210117691223849e7
2,0,5,-4.068660861626184e7,3.746229968058197e7
1,6,0,-1.1196284778236697e-9,-1.6306295989508342e-9
1,5,1,9.75546140669867e-7,-2.6642146696377044e-7
1,4,2,0.02905860037360114,-0.01698653039621089
1,3,3,-380.9071707978951,-242.0140265077482
1,2,4,-3.6621325116190594e6,-1.210117691223849e7
1,1,5,7.283417220930008e9,3.290622619347367e-8
1,0,6,2.8606905789886597e10,1.7641901949697876e10
0,7,0,2.2026557415422208e-11,8.440247540355476e-12
0,6,1,-1.6608990866546783e-8,1.067427261348549e-8
0,5,2,0.00017708811949777132,-0.00023986087787214498
0,4,3,0.10861254976892076,-0.07834706485138143
0,3,4,-2088.294296803572,-5834.4378469856965
0,2,5,-4.068660861626184e7,-3.746229968058197e7
0,1,6,2.8606905789886597e10,-1.7641901949697876e10
0,0,7,1.537769029068833e11,-5.911295751663526e-5
8,0,0,3.957733190320974e-14,-4.674548879798431e-14
7,1,0,-1.3598944888686811e-11,-2.379310015919606e-12
7,0,1,2.142367682136479e-9,-8.752473021165877e-9
6,2,0,1.1567741343499881e-10,-3.3471091645338324e-11
6,1,1,1.2513268114163677e-8,8.944011224821106e-7
6,0,2,-5.9861166894784805e-6,1.294560271751185e-6
5,3,0,-3.427073147638268e-9,-1.9200010286083614e-8
5,2,1,2.76182484224688e-5,-1.1420565080115595e-5
5,1,2,0.0009481975666358689,0.00023689670353022312
5,0,3,0.032926069041051914,0.018903637115671057
4,4,0,6.153358020904027e-6,3.256553076876235e-23
4,3,1,-0.02600248675791491,0.03618918399090436
4,2,2,-0.5834503220976553,0.2508940446958419
4,1,3,8.186602960827368,52.01203589894671
4,0,4,-37.63090463967501,186.3385771038868
3,5,0,-3.427073147638268e-9,1.9200010286083614e-8
3,4,1,-0.02600248675791491,-0.03618918399090436
3,3,2,123.78919225101504,1.499245248909669e-15
3,2,3,-53780.27540816099,106883.05245686992
3,1,4,-906129.3894497261,577622.8516251424
3,0,5,-3.624427828163842e6,6.124514728133835e6
2,6,0,1.1567741343499881e-10,3.3471091645338324e-11
