theta1,theta2,w_mid,omega0_exact,omega0_param,rel_err
0.233320,2.160000,2.159414,0.36497471,0.35452825,2.862241e-02
0.250000,2.160000,2.159414,0.35530281,0.34461812,3.007207e-02
-0.167000,2.400000,2.399349,0.80561005,0.77957378,3.231870e-02
-0.150320,2.400000,2.399349,0.77430942,0.75391141,2.634349e-02
-0.133640,2.400000,2.399349,0.74479794,0.72916138,2.099436e-02
-0.116960,2.400000,2.399349,0.71694183,0.70527938,1.626695e-02
-0.100280,2.400000,2.399349,0.69061960,0.68222408,1.215650e-02
-0.083600,2.400000,2.399349,0.66572068,0.65995716,8.657572e-03
-0.066920,2.400000,2.399349,0.64214429,0.63844324,5.763578e-03
-0.050240,2.400000,2.399349,0.61979842,0.61764998,3.466354e-03
-0.033560,2.400000,2.399349,0.59859892,0.59754799,1.755646e-03
-0.016880,2.400000,2.399349,0.57846870,0.57811087,6.185675e-04
-0.000200,2.400000,2.399349,0.55933705,0.55931523,3.901015e-05
0.016480,2.400000,2.399349,0.54113901,0.54114063,2.995988e-06
0.033160,2.400000,2.399349,0.52381482,0.52356965,4.680427e-04
0.049840,2.400000,2.399349,0.50730942,0.50658784,1.422360e-03
0.066520,2.400000,2.399349,0.49157201,0.49018374,2.824155e-03
0.083200,2.400000,2.399349,0.47655569,0.47434886,4.630784e-03
0.099880,2.400000,2.399349,0.46221706,0.45907773,6.791901e-03
0.116560,2.400000,2.399349,0.44851596,0.44436783,9.248560e-03
0.133240,2.400000,2.399349,0.43541515,0.43021966,1.193225e-02
0.149920,2.400000,2.399349,0.42288006,0.41663669,1.476394e-02
0.166600,2.400000,2.399349,0.41087860,0.40362536,1.765299e-02
0.183280,2.400000,2.399349,0.39938089,0.39119512,2.049613e-02
0.199960,2.400000,2.399349,0.38835913,0.37935841,2.317629e-02
0.216640,2.400000,2.399349,0.37778742,0.36813063,2.556144e-02
0.233320,2.400000,2.399349,0.36764159,0.35753019,2.750340e-02
0.250000,2.400000,2.399349,0.35789905,0.34757848,2.883654e-02
-0.167000,2.640000,2.639284,0.81200944,0.78541290,3.275398e-02
-0.150320,2.640000,2.639284,0.78046058,0.75958771,2.674430e-02
-0.133640,2.640000,2.639284,0.75071503,0.73467973,2.136003e-02
-0.116960,2.640000,2.639284,0.72263795,0.71064466,1.659655e-02
-0.100280,2.640000,2.639284,0.69610689,0.68744115,1.244886e-02
-0.083600,2.640000,2.639284,0.67101040,0.66503089,8.911211e-03
-0.066920,2.640000,2.639284,0.64724693,0.64337851,5.976727e-03
-0.050240,2.640000,2.639284,0.62472371,0.62245164,3.636913e-03
-0.033560,2.640000,2.639284,0.60335594,0.60222092,1.881176e-03
-0.016880,2.640000,2.639284,0.58306593,0.58265994,6.962897e-04
-0.000200,2.640000,2.639284,0.56378240,0.56374531,6.579237e-05
0.016480,2.640000,2.639284,0.54543988,0.54545659,3.062758e-05
0.033160,2.640000,2.639284,0.52797814,0.52777635,3.821815e-04
0.049840,2.640000,2.639284,0.51134167,0.51069016,1.274128e-03
0.066520,2.640000,2.639284,0.49547929,0.49418654,2.609101e-03
0.083200,2.640000,2.639284,0.48034371,0.47825702,4.344175e-03
0.099880,2.640000,2.639284,0.46589120,0.46289611,6.428753e-03
0.116560,2.640000,2.639284,0.45208128,0.44810130,8.803673e-03
0.133240,2.640000,2.639284,0.43887640,0.43387310,1.140027e-02
0.149920,2.640000,2.639284,0.42624174,0.42021495,1.413938e-02
0.166600,2.640000,2.639284,0.41414494,0.40713332,1.693034e-02
0.183280,2.640000,2.639284,0.40255588,0.39463766,1.966988e-02
0.199960,2.640000,2.639284,0.39144656,0.38274038,2.224105e-02
0.216640,2.640000,2.639284,0.38079086,0.37145691,2.451200e-02
0.233320,2.640000,2.639284,0.37056441,0.36080565,2.633484e-02
0.250000,2.640000,2.639284,0.36074446,0.35080799,2.754435e-02
-0.167000,2.880000,2.879219,0.81895432,0.79175693,3.320990e-02
-0.150320,2.880000,2.879219,0.78713608,0.76575342,2.716514e-02
-0.133640,2.880000,2.879219,0.75713651,0.74067246,2.174516e-02
-0.116960,2.880000,2.879219,0.72881963,0.71646973,1.694508e-02
-0.100280,2.880000,2.879219,0.70206194,0.69310390,1.275961e-02
-0.083600,2.880000,2.879219,0.67675106,0.67053664,9.182714e-03
-0.066920,2.880000,2.879219,0.65278454,0.64873261,6.207157e-03
-0.050240,2.880000,2.879219,0.63006887,0.62765942,3.824103e-03
-0.033560,2.880000,2.879219,0.60851850,0.60728771,2.022599e-03
-0.016880,2.880000,2.879219,0.58805507,0.58759107,7.890411e-04
-0.000200,2.880000,2.879219,0.56860672,0.56854611,1.065964e-04
0.016480,2.880000,2.879219,0.55010741,0.55013240,4.542535e-05
0.033160,2.880000,2.879219,0.53249639,0.53233251,3.077624e-04
0.049840,2.880000,2.879219,0.51571769,0.51513198,1.135710e-03
0.066520,2.880000,2.879219,0.49971968,0.49851937,2.401974e-03
0.083200,2.880000,2.879219,0.48445469,0.48248619,4.063321e-03
0.099880,2.880000,2.879219,0.46987859,0.46702695,6.068879e-03
0.116560,2.880000,2.879219,0.45595056,0.45213916,8.359251e-03
0.133240,2.880000,2.879219,0.44263276,0.43782329,1.086559e-02
0.149920,2.880000,2.879219,0.42989003,0.42408282,1.350861e-02
0.166600,2.880000,2.879219,0.41768976,0.41092420,1.619758e-02
0.183280,2.880000,2.879219,0.40600158,0.39835687,1.882926e-02
0.199960,2.880000,2.879219,0.39479723,0.38639327,2.128678e-02
0.216640,2.880000,2.879219,0.38405037,0.37504880,2.343850e-02
0.233320,2.880000,2.879219,0.37373643,0.36434188,2.513683e-02
0.250000,2.880000,2.879219,0.36383247,0.35429389,2.621695e-02
-0.167000,3.120000,3.119154,0.82642915,0.79859193,3.368373e-02
-0.150320,3.120000,3.119154,0.79432098,0.77239459,2.760394e-02
-0.133640,3.120000,3.119154,0.76404801,0.74712559,2.214838e-02
-0.116960,3.120000,3.119154,0.73547304,0.72274062,1.731188e-02
-0.100280,3.120000,3.119154,0.70847144,0.69919836,1.308885e-02
-0.083600,3.120000,3.119154,0.68292980,0.67646046,9.472912e-03
-0.066920,3.120000,3.119154,0.65874476,0.65449158,6.456493e-03
-0.050240,3.120000,3.119154,0.63582195,0.63325935,4.030374e-03
-0.033560,3.120000,3.119154,0.61407504,0.61273438,2.183214e-03
-0.016880,3.120000,3.119154,0.59342498,0.59289030,9.010110e-04
-0.000200,3.120000,3.119154,0.57379923,0.57370368,1.665275e-04
0.016480,3.120000,3.119154,0.55513117,0.55515411,4.132801e-05
0.033160,3.120000,3.119154,0.53735948,0.53722415,2.518358e-04
0.049840,3.120000,3.119154,0.52042769,0.51989936,1.015186e-03
0.066520,3.120000,3.119154,0.50428372,0.50316828,2.211923e-03
0.083200,3.120000,3.119154,0.48887942,0.48702243,3.798474e-03
0.099880,3.120000,3.119154,0.47417031,0.47145631,5.723676e-03
0.116560,3.120000,3.119154,0.46011518,0.45646744,7.927874e-03
0.133240,3.120000,3.119154,0.44667582,0.44205629,1.034201e-02
0.149920,3.120000,3.119154,0.43381679,0.42822633,1.288668e-02
0.166600,3.120000,3.119154,0.42150515,0.41498402,1.547106e-02
0.183280,3.120000,3.119154,0.40971028,0.40233880,1.799192e-02
0.199960,3.120000,3.119154,0.39840364,0.39030310,2.033249e-02
0.216640,3.120000,3.119154,0.38755867,0.37889234,2.236133e-02
0.233320,3.120000,3.119154,0.37715057,0.36812492,2.393116e-02
0.250000,3.120000,3.119154,0.36715618,0.35802222,2.487760e-02
-0.167000,3.360000,3.359089,0.83441774,0.80590270,3.417358e-02
-0.150320,3.360000,3.359089,0.80199974,0.77949603,2.805950e-02
-0.133640,3.360000,3.359089,0.77143460,0.75402396,2.256917e-02
-0.116960,3.360000,3.359089,0.74258380,0.72944218,1.769715e-02
-0.100280,3.360000,3.359089,0.71532152,0.70570936,1.343753e-02
-0.083600,3.360000,3.359089,0.68953328,0.68278718,9.783576e-03
-0.066920,3.360000,3.359089,0.66511471,0.66064026,6.727325e-03
-0.050240,3.360000,3.359089,0.64197052,0.63923626,4.259169e-03
-0.033560,3.360000,3.359089,0.62001357,0.61854578,2.367352e-03
-0.016880,3.360000,3.359089,0.59916405,0.59854245,1.037447e-03
-0.000200,3.360000,3.359089,0.57934871,0.57920284,2.517892e-04
0.016480,3.360000,3.359089,0.56050029,0.56050654,1.114325e-05
0.033160,3.360000,3.359089,0.54255690,0.54243612,2.226201e-04
0.049840,3.360000,3.359089,0.52546151,0.52497712,9.218414e-04
0.066520,3.360000,3.359089,0.50916153,0.50811809,2.049330e-03
0.083200,3.360000,3.359089,0.49360837,0.49185055,3.561160e-03
0.099880,3.360000,3.359089,0.47875710,0.47616901,5.405845e-03
0.116560,3.360000,3.359089,0.46456612,0.46107097,7.523456e-03
0.133240,3.360000,3.359089,0.45099686,0.44655692,9.844721e-03
0.149920,3.360000,3.359089,0.43801352,0.43263031,1.229005e-02
