t I S
0.742 -0.318152 0.056483
0.743 -0.30194 0.0731937
0.744 -0.287363 0.0881049
0.745 -0.31327 0.0631679
0.746 -0.2977 0.0791589
0.747 -0.289117 0.0881963
0.748 -0.297439 0.0806767
0.749 -0.301514 0.0767762
0.75 -0.283422 0.0956141
0.751 -0.274648 0.104917
0.752 -0.289028 0.0915385
0.753 -0.272837 0.108328
0.754 -0.255487 0.126124
0.755 -0.282886 0.0991498
0.756 -0.287461 0.0951133
0.757 -0.273746 0.109417
0.758 -0.24178 0.142048
0.759 -0.259548 0.124618
0.76 -0.251429 0.133179
0.761 -0.233537 0.151231
0.762 -0.214847 0.171024
0.763 -0.221979 0.164611
0.764 -0.230996 0.156277
0.765 -0.209171 0.178876
0.766 -0.216788 0.171811
0.767 -0.225621 0.163243
0.768 -0.176458 0.213423
0.769 -0.193172 0.196999
0.77 -0.218752 0.171882
0.771 -0.213105 0.177925
0.772 -0.213379 0.178036
0.773 -0.209666 0.182313
0.774 -0.233044 0.159608
0.775 -0.254898 0.138086
0.776 -0.251543 0.142004
0.777 -0.281552 0.112864
0.778 -0.287035 0.107641
0.779 -0.305853 0.0893087
0.78 -0.287934 0.107649
0.781 -0.28399 0.112177
0.782 -0.278018 0.118248
0.783 -0.288413 0.108109
0.784 -0.289947 0.106701
0.785 -0.294907 0.102081
0.786 -0.278561 0.119273
0.787 -0.278663 0.119729
0.788 -0.313397 0.0861969
0.789 -0.314299 0.0857061
0.79 -0.297144 0.103434
0.791 -0.292954 0.108001
0.792 -0.292773 0.108276
0.793 -0.297243 0.104302
0.794 -0.32058 0.0818612
0.795 -0.319863 0.0830867
0.796 -0.33313 0.0706203
0.797 -0.338376 0.0657448
0.798 -0.337264 0.0672673
0.799 -0.339587 0.0652484
0.8 -0.367471 0.0382743
0.801 -0.378452 0.0276021
0.802 -0.384592 0.0219009
0.803 -0.354746 0.0529481
0.804 -0.368335 0.0402869
0.805 -0.363769 0.0452103
0.806 -0.350282 0.0589269
0.807 -0.353046 0.0564833
0.808 -0.356973 0.0530504
0.809 -0.347691 0.0627986
0.81 -0.364145 0.0469417
0.811 -0.343843 0.0681069
0.812 -0.312283 0.100236
0.813 -0.31676 0.0960355
0.814 -0.313719 0.0995834
0.815 -0.313137 0.100564
0.816 -0.300767 0.113232
0.817 -0.321323 0.0935584
0.818 -0.340186 0.0751749
0.819 -0.335944 0.08014
0.82 -0.359831 0.0568102
0.821 -0.337017 0.080706
0.822 -0.325565 0.0927042
0.823 -0.33854 0.0802696
0.824 -0.330896 0.0886644
0.825 -0.343837 0.0765339
0.826 -0.338195 0.0826461
0.827 -0.331801 0.0896018
0.828 -0.338434 0.0836616
0.829 -0.319701 0.10331
0.83 -0.361815 0.0620616
0.831 -0.367849 0.056546
0.832 -0.375457 0.0495327
0.833 -0.380411 0.0453094
0.834 -0.383273 0.0427435
0.835 -0.388214 0.0385404
0.836 -0.38924 0.0380417
0.837 -0.39787 0.029737
0.838 -0.384554 0.0435793
0.839 -0.386636 0.0419225
0.84 -0.395923 0.0329166
0.841 -0.398083 0.0315946
0.842 -0.395018 0.0348203
0.843 -0.38979 0.0404199
0.844 -0.389776 0.0405326
0.845 -0.392618 0.03825
0.846 -0.389099 0.0422943
0.847 -0.38141 0.0505781
0.848 -0.380701 0.0519308
0.849 -0.388313 0.0449189
0.85 -0.390055 0.0436992
0.851 -0.397079 0.0374072
0.852 -0.402502 0.0322378
0.853 -0.392212 0.0428721
0.854 -0.405734 0.0298971
0.855 -0.406429 0.0295932
0.856 -0.412575 0.0239278
0.857 -0.412274 0.0248327
0.858 -0.409922 0.0276223
0.859 -0.404797 0.0333678
0.86 -0.409081 0.0296423
0.861 -0.411735 0.02805
0.862 -0.413717 0.0264348
0.863 -0.419692 0.0207403
0.864 -0.417752 0.0232611
0.865 -0.411947 0.0298023
0.866 -0.414651 0.0274333
0.867 -0.422757 0.0200141
0.868 -0.43017 0.0130549
0.869 -0.433516 0.0103596
0.87 -0.436276 0.00811366
0.871 -0.440952 0.00402923
0.872 -0.441295 0.00391597
0.873 -0.444708 0.00107689
0.874 -0.442247 0.00409802
0.875 -0.44331 0.00365322
0.876 -0.446095 0.00117495
0.877 -0.446673 0.000909171
0.878 -0.44801 9.25823e-05
0.879 -0.448299 0.000161966
0.88 -0.448029 0.00110346
0.881 -0.447248 0.0023063
0.882 -0.44855 0.00105915
0.883 -0.448656 0.00136221
0.884 -0.449126 0.00122389
0.885 -0.448887 0.00159661
0.886 -0.444031 0.00731351
0.887 -0.44207 0.00965159
0.888 -0.438828 0.0132431
0.889 -0.439475 0.0130613
0.89 -0.439208 0.0138153
0.891 -0.436944 0.0163534
0.892 -0.435536 0.0182009
0.893 -0.431663 0.0225132
0.894 -0.434124 0.0204417
0.895 -0.440437 0.0144796
0.896 -0.436078 0.0191572
0.897 -0.439073 0.0164583
0.898 -0.443342 0.012518
0.899 -0.448104 0.00819815
0.9 -0.452538 0.00434839
0.901 -0.454154 0.00320892
0.902 -0.447513 0.0105047
0.903 -0.451327 0.00703243
0.904 -0.453279 0.00529344
0.905 -0.452872 0.00612098
0.906 -0.447812 0.0116138
0.907 -0.450279 0.0093981
0.908 -0.450692 0.00988077
