eta,Re,rho,omega,T
-6.384691551170e-04,50.61444170,1.175849031116e+00,16.9857804569,0.3699085434
-6.487172093786e-04,50.64070902,1.185849025865e+00,16.9877772389,0.3698650635
-6.590228644862e-04,50.66715148,1.195849020555e+00,16.9897856262,0.3698213412
-6.693855103167e-04,50.69376803,1.205849015186e+00,16.9918055206,0.3697773788
-6.798045328695e-04,50.72055758,1.215849009758e+00,16.9938368240,0.3697331787
-6.902793141664e-04,50.74751907,1.225849004272e+00,16.9958794385,0.3696887431
-7.008092321532e-04,50.77465138,1.235848998728e+00,16.9979332665,0.3696440743
-7.113936605997e-04,50.80195340,1.245848993127e+00,16.9999982102,0.3695991746
-7.220319690000e-04,50.82942400,1.255848987468e+00,17.0020741726,0.3695540464
-7.327235224724e-04,50.85706204,1.265848981753e+00,17.0041610564,0.3695086918
-7.434676816596e-04,50.88486637,1.275848975981e+00,17.0062587649,0.3694631132
-7.542638026289e-04,50.91283580,1.285848970153e+00,17.0083672015,0.3694173128
-7.651112367725e-04,50.94096915,1.295848964270e+00,17.0104862701,0.3693712929
-7.760093307092e-04,50.96926522,1.305848958331e+00,17.0126158748,0.3693250558
-7.869574261850e-04,50.99772279,1.315848952338e+00,17.0147559201,0.3692786036
-7.979548599760e-04,51.02634061,1.325848946291e+00,17.0169063109,0.3692319387
-8.090009637907e-04,51.05511743,1.335848940190e+00,17.0190669528,0.3691850631
-8.200950641742e-04,51.08405198,1.345848934036e+00,17.0212377514,0.3691379792
-8.312364824123e-04,51.11314296,1.355848927830e+00,17.0234186133,0.3690906891
-8.424245344375e-04,51.14238907,1.365848921571e+00,17.0256094453,0.3690431950
-8.536585307351e-04,51.17178897,1.375848915261e+00,17.0278101551,0.3689954991
-8.649377762512e-04,51.20134132,1.385848908900e+00,17.0300206508,0.3689476035
-8.762615703012e-04,51.23104474,1.395848902489e+00,17.0322408413,0.3688995104
-8.876292064800e-04,51.26089785,1.405848896028e+00,17.0344706363,0.3688512218
-8.990399725725e-04,51.29089924,1.415848889517e+00,17.0367099462,0.3688027399
