eta,Re,rho,omega,T
-9.975926011611e-04,51.55148441,1.485848823201e+00,17.0554079398,0.3683984182
-1.010183815666e-03,51.58496800,1.495848815274e+00,17.0578464600,0.3683457535
-1.022846389739e-03,51.61868525,1.505848807257e+00,17.0602982018,0.3682928184
-1.035580640815e-03,51.65263783,1.515848799149e+00,17.0627631877,0.3682396127
-1.048386902248e-03,51.68682749,1.525848790949e+00,17.0652414418,0.3681861360
-1.061265523377e-03,51.72125600,1.535848782656e+00,17.0677329896,0.3681323882
-1.074216869576e-03,51.75592522,1.545848774269e+00,17.0702378579,0.3680783689
-1.087241322302e-03,51.79083704,1.555848765788e+00,17.0727560751,0.3680240776
-1.100339279137e-03,51.82599342,1.565848757210e+00,17.0752876705,0.3679695141
-1.113511153814e-03,51.86139637,1.575848748535e+00,17.0778326750,0.3679146779
-1.126757376245e-03,51.89704796,1.585848739762e+00,17.0803911207,0.3678595685
-1.140078392540e-03,51.93295032,1.595848730890e+00,17.0829630407,0.3678041855
-1.153474665009e-03,51.96910564,1.605848721917e+00,17.0855484694,0.3677485284
-1.166946672162e-03,52.00551617,1.615848712842e+00,17.0881474420,0.3676925968
-1.180494908703e-03,52.04218421,1.625848703664e+00,17.0907599950,0.3676363900
-1.194119885507e-03,52.07911213,1.635848694382e+00,17.0933861658,0.3675799076
-1.207822129591e-03,52.11630236,1.645848684995e+00,17.0960259925,0.3675231489
-1.221602184074e-03,52.15375739,1.655848675500e+00,17.0986795142,0.3674661135
-1.235460608130e-03,52.19147976,1.665848665898e+00,17.1013467706,0.3674088007
-1.249397976923e-03,52.22947210,1.675848656185e+00,17.1040278023,0.3673512099
-1.263414881536e-03,52.26773708,1.685848646362e+00,17.1067226502,0.3672933405
-1.277511928890e-03,52.30627743,1.695848636425e+00,17.1094313560,0.3672351919
-1.291689741642e-03,52.34509596,1.705848626375e+00,17.1121539617,0.3671767634
-1.305948958080e-03,52.38419553,1.715848616209e+00,17.1148905097,0.3671180545
-1.320290232003e-03,52.42357906,1.725848605925e+00,17.1176410426,0.3670590645
-1.334714232578e-03,52.46324955,1.735848595523e+00,17.1204056031,0.3669997927
-1.349221644198e-03,52.50321006,1.745848585000e+00,17.1231842343,0.3669402385
-1.363813166315e-03,52.54346370,1.755848574354e+00,17.1259769790,0.3668804013
-1.378489513261e-03,52.58401365,1.765848563584e+00,17.1287838799,0.3668202805
-1.393251414053e-03,52.62486318,1.775848552689e+00,17.1316049794,0.3667598754
-1.408099612185e-03,52.66601558,1.785848541665e+00,17.1344403197,0.3666991854
-1.423034865398e-03,52.70747424,1.795848530512e+00,17.1372899424,0.3666382099
-1.438057945439e-03,52.74924260,1.805848519228e+00,17.1401538886,0.3665769484
-1.453169637796e-03,52.79132416,1.815848507810e+00,17.1430321986,0.3665154002
-1.468370741425e-03,52.83372251,1.825848496256e+00,17.1459249118,0.3664535649
-1.483662068444e-03,52.87644126,1.835848484565e+00,17.1488320668,0.3663914419
-1.499044443821e-03,52.91948413,1.845848472734e+00,17.1517537009,0.3663290306
-1.514518705036e-03,52.96285488,1.855848460762e+00,17.1546898501,0.3662663308
-1.530085701723e-03,53.00655734,1.865848448645e+00,17.1576405490,0.3662033418
-1.545746295293e-03,53.05059539,1.875848436383e+00,17.1606058306,0.3661400634
-1.561501358532e-03,53.09497299,1.885848423972e+00,17.1635857262,0.3660764952
-1.577351775185e-03,53.13969415,1.895848411410e+00,17.1665802652,0.3660126368
-1.593298439508e-03,53.18476297,1.905848398695e+00,17.1695894748,0.3659484880
-1.609342255801e-03,53.23018357,1.915848385825e+00,17.1726133800,0.3658840485
-1.625484137923e-03,53.27596016,1.925848372797e+00,17.1756520032,0.3658193183
-1.641725008771e-03,53.32209699,1.935848359609e+00,17.1787053644,0.3657542972
-1.658065799744e-03,53.36859840,1.945848346258e+00,17.1817734805,0.3656889852
-1.674507450182e-03,53.41546876,1.955848332742e+00,17.1848563655,0.3656233822
-1.691050906770e-03,53.46271250,1.965848319058e+00,17.1879540301,0.3655574885
-1.707697122929e-03,53.51033412,1.975848305203e+00,17.1910664816,0.3654913041
-1.724447058169e-03,53.55833817,1.985848291175e+00,17.1941937234,0.3654248293
-1.741301677421e-03,53.60672926,1.995848276971e+00,17.1973357553,0.3653580646
-1.758261950344e-03,53.65551203,2.005848262589e+00,17.2004925725,0.3652910102
-1.775328850594e-03,53.70469120,2.015848248025e+00,17.2036641664,0.3652236667
-1.792503355076e-03,53.75427153,2.025848233277e+00,17.2068505231,0.3651560347
-1.809786443163e-03,53.80425783,2.035848218342e+00,17.2100516244,0.3650881150
-1.827179095884e-03,53.85465495,2.045848203217e+00,17.2132674465,0.3650199084
-1.844682295085e-03,53.90546779,2.055848187899e+00,17.2164979606,0.3649514159
-1.862297022564e-03,53.95670131,2.065848172385e+00,17.2197431317,0.3648826384
-1.880024259169e-03,54.00836048,2.075848156672e+00,17.2230029194,0.3648135773
-1.897864983873e-03,54.06045033,2.085848140758e+00,17.2262772766,0.3647442338
-1.915820172819e-03,54.11297594,2.095848124639e+00,17.2295661500,0.3646746095
-1.933890798326e-03,54.16594239,2.105848108312e+00,17.2328694791,0.3646047058
-1.952077827883e-03,54.21935483,2.115848091773e+00,17.2361871967,0.3645345247
-1.970382223094e-03,54.27321842,2.125848075021e+00,17.2395192278,0.3644640679
-1.988804938607e-03,54.32753836,2.135848058051e+00,17.2428654898,0.3643933377
-2.007346921009e-03,54.38231986,2.145848040861e+00,17.2462258920,0.3643223362
-2.026009107692e-03,54.43756817,2.155848023447e+00,17.2496003353,0.3642510658
-2.044792425691e-03,54.49328854,2.165848005807e+00,17.2529887119,0.3641795292
-2.063697790495e-03,54.54948627,2.175847987936e+00,17.2563909047,0.3641077292
-2.082726104829e-03,54.60616664,2.185847969833e+00,17.2598067876,0.3640356688
-2.101878257408e-03,54.66333496,2.195847951493e+00,17.2632362245,0.3639633511
-2.121155121671e-03,54.72099653,2.205847932913e+00,17.2666790690,0.3638907796
-2.140557554481e-03,54.77915668,2.215847914091e+00,17.2701351646,0.3638179578
-2.160086394808e-03,54.83782073,2.225847895022e+00,17.2736043439,0.3637448897
-2.179742462384e-03,54.89699397,2.235847875704e+00,17.2770864280,0.3636715793
-2.199526556341e-03,54.95668172,2.245847856134e+00,17.2805812269,0.3635980309
-2.219439453820e-03,55.01688928,2.255847836308e+00,17.2840885383,0.3635242491
